"id","sessionID","time","type","name","level","result"
"31","1","2015-11-28 01:41:42","page","Kezdőlap","",""
"32","1","2015-11-28 01:41:46","page","Számolás","",""
"33","1","2015-11-28 01:41:48","exercise","Páratlan számok jelentése","1/1",""
"34","1","2015-11-28 01:41:51","exercise","Páratlan számok jelentése","1/1","WRONG"
"35","1","2015-11-28 01:41:52","exercise","Páratlan számok jelentése","1/1",""
"36","1","2015-11-28 01:41:55","exercise","Páratlan számok jelentése","1/1","CORRECT"
"37","1","2015-11-28 01:41:56","exercise","Páros vagy páratlan?","1/3",""
"38","1","2015-11-28 01:42:00","exercise","Páros vagy páratlan?","1/3","CORRECT"
"39","1","2015-11-28 01:42:01","exercise","Páros vagy páratlan?","2/3",""
"40","1","2015-11-28 01:42:04","exercise","Páros vagy páratlan?","2/3","CORRECT"
"41","1","2015-11-28 01:42:05","exercise","Páros vagy páratlan?","3/3",""
"42","1","2015-11-28 01:42:07","exercise","Páros vagy páratlan?","3/3","WRONG"
"43","1","2015-11-28 01:42:48","exercise","Páros vagy páratlan?","3/3",""
"44","1","2015-11-28 01:42:56","exercise","Páros vagy páratlan?","3/3","WRONG"
"45","1","2015-11-28 01:43:40","exercise","Páros vagy páratlan?","3/3","WRONG"
"46","1","2015-11-28 01:44:07","exercise","Páros vagy páratlan?","3/3","WRONG"
"47","1","2015-11-28 01:44:20","exercise","Páros vagy páratlan?","3/3","WRONG"
"48","1","2015-11-28 01:44:48","exercise","Páros vagy páratlan?","3/3","NOT_DONE"
"49","1","2015-11-28 01:44:52","exercise","Páros vagy páratlan?","3/3",""
"50","1","2015-11-28 01:44:56","exercise","Páros vagy páratlan?","3/3","NOT_DONE"
"51","1","2015-11-28 01:45:09","page","Kezdőlap","",""
"52","1","2015-11-28 01:47:17","page","Kezdőlap","",""
"53","1","2015-11-28 01:47:20","page","Számolás","",""
"54","1","2015-11-28 01:47:26","exercise","Páros számok jelentése","1/1",""
"55","1","2015-11-28 02:09:15","exercise","Páros számok jelentése","1/1",""
"56","1","2015-11-28 02:09:31","exercise","Páros számok jelentése","1/1",""
"57","1","2015-11-28 02:10:03","exercise","Páros számok jelentése","1/1",""
"58","1","2015-11-28 02:10:44","exercise","Páros számok jelentése","1/1",""
"59","1","2015-11-28 02:18:57","exercise","Páros számok jelentése","1/1",""
"60","1","2015-11-28 02:19:04","exercise","Páros számok jelentése","1/1","CORRECT"
"61","1","2015-11-28 02:19:05","exercise","Páros számok jelentése","1/1","CORRECT"
"62","1","2015-11-28 02:19:08","exercise","Páros számok jelentése","1/1","CORRECT"
"63","1","2015-11-28 02:20:23","exercise","Páros számok jelentése","1/1","CORRECT"
"64","1","2015-11-28 02:21:53","exercise","Páros számok jelentése","1/1","CORRECT"
"65","1","2015-11-28 02:22:15","exercise","Páros számok jelentése","1/1","CORRECT"
"66","1","2015-11-28 02:22:48","exercise","Páros számok jelentése","1/1","CORRECT"
"67","1","2015-11-28 02:22:49","exercise","Páros számok jelentése","1/1",""
"68","1","2015-11-28 02:22:58","exercise","Páros számok jelentése","1/1","CORRECT"
"69","1","2015-11-28 02:22:59","exercise","Páros vagy páratlan?","1/3",""
"70","1","2015-11-28 02:23:03","exercise","Páros vagy páratlan?","1/3","CORRECT"
"71","1","2015-11-28 02:23:04","exercise","Páros vagy páratlan?","2/3",""
"72","1","2015-11-28 02:23:43","exercise","Páros vagy páratlan?","2/3",""
"73","1","2015-11-28 02:23:46","exercise","Páros vagy páratlan?","2/3","CORRECT"
"74","1","2015-11-28 02:23:47","exercise","Páros vagy páratlan?","3/3",""
"75","1","2015-11-28 02:24:00","exercise","Páros vagy páratlan?","3/3",""
"76","1","2015-11-28 02:25:14","exercise","Páros vagy páratlan?","3/3",""
"77","1","2015-11-28 02:25:32","exercise","Páros vagy páratlan?","3/3",""
"78","1","2015-11-28 02:25:40","exercise","Páros vagy páratlan?","3/3",""
"79","1","2015-11-28 02:25:55","exercise","Páros vagy páratlan?","3/3",""
"80","1","2015-11-28 02:26:01","exercise","Páros vagy páratlan?","3/3","CORRECT"
"81","1","2015-11-28 02:26:02","exercise","Hány darab páros/páratlan?","1/3",""
"82","1","2015-11-28 02:40:47","exercise","Hány darab páros/páratlan?","1/3",""
"83","1","2015-11-28 02:41:13","exercise","Hány darab páros/páratlan?","1/3",""
"84","1","2015-11-28 02:41:20","exercise","Hány darab páros/páratlan?","1/3","CORRECT"
"85","1","2015-11-28 02:41:44","exercise","Hány darab páros/páratlan?","2/3",""
"86","1","2015-11-28 02:41:47","exercise","Hány darab páros/páratlan?","2/3","NOT_DONE"
"87","1","2015-11-28 02:41:48","exercise","Hány darab páros/páratlan?","2/3","NOT_DONE"
"88","1","2015-11-28 02:41:51","exercise","Hány darab páros/páratlan?","2/3","CORRECT"
"89","1","2015-11-28 02:43:07","exercise","Hány darab páros/páratlan?","3/3",""
"90","1","2015-11-28 02:43:13","exercise","Hány darab páros/páratlan?","3/3","NOT_DONE"
"91","1","2015-11-28 02:43:14","exercise","Hány darab páros/páratlan?","3/3","NOT_DONE"
"92","1","2015-11-28 02:43:16","exercise","Hány darab páros/páratlan?","3/3","CORRECT"
"93","1","2015-11-28 02:45:40","exercise","Természetes számok kérdése","1/1",""
"94","1","2015-11-28 02:45:46","exercise","Természetes számok kérdése","1/1","CORRECT"
"95","1","2015-11-28 02:45:51","exercise","Természetes számok kérdése","1/1","CORRECT"
"96","1","2015-11-28 02:48:21","page","Kezdőlap","",""
"97","1","2015-11-28 02:48:29","page","Természetes számok","",""
"98","1","2015-11-28 02:48:32","exercise","Természetes számok kérdése","1/1",""
"99","1","2015-11-28 02:48:43","exercise","Természetes számok kérdése","1/1","WRONG"
"100","1","2015-11-28 02:51:17","exercise","Természetes számok kérdése","1/1",""
"101","1","2015-11-28 02:51:21","exercise","Természetes számok kérdése","1/1","CORRECT"
"102","1","2015-11-28 02:51:48","page","Kezdőlap","",""
"103","1","2015-11-28 02:51:51","page","Számolás","",""
"104","1","2015-11-28 02:51:53","exercise","Páros vagy páratlan?","1/3",""
"105","1","2015-11-28 02:51:56","exercise","Páros vagy páratlan?","1/3","WRONG"
