"id","sessionID","time","type","name","level","result"
"31","1","2015-11-28 01:41:42","page","Kezdőlap","",""
"32","1","2015-11-28 01:41:46","page","Számolás","",""
"33","1","2015-11-28 01:41:48","exercise","Páratlan számok jelentése","1/1",""
"34","1","2015-11-28 01:41:51","exercise","Páratlan számok jelentése","1/1","WRONG"
"35","1","2015-11-28 01:41:52","exercise","Páratlan számok jelentése","1/1",""
"36","1","2015-11-28 01:41:55","exercise","Páratlan számok jelentése","1/1","CORRECT"
"37","1","2015-11-28 01:41:56","exercise","Páros vagy páratlan?","1/3",""
"38","1","2015-11-28 01:42:00","exercise","Páros vagy páratlan?","1/3","CORRECT"
"39","1","2015-11-28 01:42:01","exercise","Páros vagy páratlan?","2/3",""
"40","1","2015-11-28 01:42:04","exercise","Páros vagy páratlan?","2/3","CORRECT"
"41","1","2015-11-28 01:42:05","exercise","Páros vagy páratlan?","3/3",""
"42","1","2015-11-28 01:42:07","exercise","Páros vagy páratlan?","3/3","WRONG"
"43","1","2015-11-28 01:42:48","exercise","Páros vagy páratlan?","3/3",""
"44","1","2015-11-28 01:42:56","exercise","Páros vagy páratlan?","3/3","WRONG"
"45","1","2015-11-28 01:43:40","exercise","Páros vagy páratlan?","3/3","WRONG"
"46","1","2015-11-28 01:44:07","exercise","Páros vagy páratlan?","3/3","WRONG"
"47","1","2015-11-28 01:44:20","exercise","Páros vagy páratlan?","3/3","WRONG"
"48","1","2015-11-28 01:44:48","exercise","Páros vagy páratlan?","3/3","NOT_DONE"
"49","1","2015-11-28 01:44:52","exercise","Páros vagy páratlan?","3/3",""
"50","1","2015-11-28 01:44:56","exercise","Páros vagy páratlan?","3/3","NOT_DONE"
